station_id,platform_code,station_date,latitude,longitude,measure_type,parameter_code,parameter_value,parameter_qc,z_code,z_value,z_qc,z_level
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,28.603,1,28,11.1,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,27.442,1,28,16.5,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,25.565,1,28,22,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,22.979,1,28,27.4,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,20.799,1,28,32.8,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,19.574,1,28,38.3,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,17.9,1,28,43.7,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,17.128,1,28,49.1,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,16.183,1,28,54.6,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,15.53,1,28,60,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,15.338,1,28,65.5,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,15.298,1,28,70.9,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,15.237,1,28,76.3,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,15.131,1,28,81.8,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,15.075,1,28,87.2,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,14.837,1,28,92.6,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,14.522,1,28,98.1,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,14.414,1,28,106.2,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,14.184,1,28,117.1,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,13.994,1,28,128,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,13.8,1,28,138.8,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,13.727,1,28,149.7,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,13.655,1,28,160.6,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,13.603,1,28,171.5,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,13.444,1,28,182.3,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,13.23,1,28,193.2,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,13.014,1,28,204.1,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,12.845,1,28,214.9,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,12.647,1,28,225.8,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,12.495,1,28,236.7,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,12.35,1,28,247.6,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,12.176,1,28,258.4,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,12.005,1,28,269.3,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,11.914,1,28,280.2,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,11.839,1,28,291,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,11.726,1,28,301.9,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,11.628,1,28,312.8,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,11.479,1,28,323.7,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,11.291,1,28,334.5,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,11.104,1,28,345.4,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,10.874,1,28,356.3,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,10.669,1,28,367.1,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,10.51,1,28,378,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,10.304,1,28,388.9,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,10.079,1,28,399.8,1,
1418861,13859,1999-06-01T11:49:58Z,4.49,-30.702,1,35,9.993,1,28,410.6,1,
