station_id,platform_code,station_date,latitude,longitude,measure_type,parameter_code,parameter_value,parameter_qc,z_code,z_value,z_qc,z_level
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,33.9166,1,28,0,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,33.926,1,28,4,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,33.9432,1,28,9.4,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,33.9208,1,28,19.2,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,34.0387,1,28,29.1,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,34.0387,1,28,38.3,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,34.0321,1,28,49.1,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,34.0399,1,28,58.1,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,33.9118,1,28,68.8,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,33.9691,1,28,77.8,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,33.9418,1,28,88.9,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,33.9685,1,28,100.1,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,34.0253,1,28,109.2,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,34.0449,1,28,119.6,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,34.039,1,28,129.9,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,34.0298,1,28,139.1,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,34.0381,1,28,150.7,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,34.0424,1,28,158.5,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,34.0378,1,28,169.8,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,34.016,1,28,180.6,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,34.0004,1,28,189.7,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,33.9792,1,28,198.4,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,33.9095,1,28,209.4,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,33.9644,1,28,219.7,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,33.9879,1,28,228.6,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,33.9065,1,28,238.8,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,33.8729,1,28,248.7,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,33.7937,1,28,298.7,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,33.8759,1,28,348.4,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,33.9672,1,28,398.2,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,34.0182,1,28,449.8,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,34.0575,1,28,499.9,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,34.1263,1,28,549.1,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,34.1685,1,28,599.2,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,34.2337,1,28,649.9,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,34.2728,1,28,698.5,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,34.3259,1,28,748.2,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,34.3548,1,28,799.5,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,34.3677,1,28,848.3,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,34.3972,1,28,900.1,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,34.4388,1,28,978.6,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,34.4519,1,28,999.7,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,30,34.4667,1,28,1055.1,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,8.416,1,28,0,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,8.415,1,28,4,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,8.355,1,28,9.4,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,8.209,1,28,19.2,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,8.364,1,28,29.1,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,8.354,1,28,38.3,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,8.336,1,28,49.1,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,8.066,1,28,58.1,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,7.433,1,28,68.8,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,7.729,1,28,77.8,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,7.573,1,28,88.9,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,7.742,1,28,100.1,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,7.856,1,28,109.2,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,7.88,1,28,119.6,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,7.877,1,28,129.9,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,7.88,1,28,139.1,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,7.854,1,28,150.7,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,7.833,1,28,158.5,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,7.824,1,28,169.8,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,7.747,1,28,180.6,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,7.638,1,28,189.7,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,7.41,1,28,198.4,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,7.349,1,28,209.4,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,7.331,1,28,219.7,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,7.133,1,28,228.6,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,6.79,1,28,238.8,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,6.507,1,28,248.7,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,5.107,1,28,298.7,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,5.221,1,28,348.4,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,5.077,1,28,398.2,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,4.723,1,28,449.8,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,4.511,1,28,499.9,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,4.135,1,28,549.1,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,4.136,1,28,599.2,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,3.921,1,28,649.9,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,3.828,1,28,698.5,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,3.658,1,28,748.2,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,3.594,1,28,799.5,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,3.436,1,28,848.3,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,3.294,1,28,900.1,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,3.191,1,28,978.6,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,3.131,1,28,999.7,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,35,3.021,1,28,1055.1,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,66,0,1,28,0,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,66,4,1,28,4,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,66,9.4,1,28,9.4,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,66,19.2,1,28,19.2,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,66,29.1,1,28,29.1,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,66,38.3,1,28,38.3,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,66,49.1,1,28,49.1,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,66,58.1,1,28,58.1,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,66,68.8,1,28,68.8,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,66,77.8,1,28,77.8,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,66,88.9,1,28,88.9,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,66,100.1,1,28,100.1,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,66,109.2,1,28,109.2,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,66,119.6,1,28,119.6,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,66,129.9,1,28,129.9,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,66,139.1,1,28,139.1,1,
1411126,21852,1999-05-01T16:08:06Z,40.868,153.088,1,66,150.7,1,28,150.7,1,
