station_id,platform_code,station_date,latitude,longitude,measure_type,parameter_code,parameter_value,parameter_qc,z_code,z_value,z_qc,z_level
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,28.2,1,28,16.6,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,28.211,1,28,21.8,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,28.2,1,28,27.1,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,28.2,1,28,32.4,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,28.189,1,28,37.7,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,27.505,1,28,43,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,25.411,1,28,48.3,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,24.333,1,28,53.5,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,23.231,1,28,58.8,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,22.613,1,28,64.1,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,22.282,1,28,69.4,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,21.957,1,28,74.7,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,21.628,1,28,80,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,21.009,1,28,85.3,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,20.2,1,28,90.5,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,19.515,1,28,95.8,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,18.637,1,28,101.1,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,16.983,1,28,109,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,14.961,1,28,119.6,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,12.913,1,28,130.2,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,11.789,1,28,140.7,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,11.46,1,28,151.3,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,11.203,1,28,161.9,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,10.996,1,28,172.4,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,10.787,1,28,183,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,10.598,1,28,193.6,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,10.52,1,28,204.2,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,10.451,1,28,214.7,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,10.23,1,28,225.3,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,10.059,1,28,235.9,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,9.851,1,28,246.4,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,9.684,1,28,257,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,9.561,1,28,267.6,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,9.457,1,28,278.1,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,9.414,1,28,288.7,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,9.328,1,28,299.3,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,9.195,1,28,309.8,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,9.106,1,28,320.4,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,9.021,1,28,331,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,8.911,1,28,341.5,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,8.815,1,28,352.1,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,8.648,1,28,362.7,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,8.52,1,28,373.2,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,8.438,1,28,383.8,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,8.352,1,28,394.4,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,8.217,1,28,405,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,8.08,1,28,415.5,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,8.044,1,28,426.1,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,7.947,1,28,436.7,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,7.852,1,28,447.2,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,7.796,1,28,457.8,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,7.622,1,28,468.4,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,7.465,1,28,478.9,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,7.376,1,28,489.5,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,7.306,1,28,500.1,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,7.167,1,28,510.6,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,7.049,1,28,521.2,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,6.95,1,28,531.8,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,6.802,1,28,542.3,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,6.667,1,28,552.9,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,6.47,1,28,563.5,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,6.315,1,28,574,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,6.234,1,28,584.6,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,6.114,1,28,595.2,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,5.991,1,28,605.8,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,5.901,1,28,616.3,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,5.793,1,28,626.9,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,5.693,1,28,637.5,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,5.594,1,28,648,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,5.548,1,28,658.6,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,5.492,1,28,669.2,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,5.435,1,28,679.7,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,5.358,1,28,690.3,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,5.244,1,28,700.9,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,5.216,1,28,711.4,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,5.188,1,28,722,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,5.129,1,28,732.6,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,5.067,1,28,743.1,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,4.971,1,28,753.7,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,4.92,1,28,764.3,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,4.859,1,28,774.9,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,4.787,1,28,785.4,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,4.733,1,28,796,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,4.71,1,28,806.6,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,4.683,1,28,817.1,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,4.659,1,28,827.7,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,4.639,1,28,838.3,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,4.592,1,28,848.8,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,4.562,1,28,859.4,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,4.492,1,28,870,1,
1419130,15820,1999-04-01T03:31:23Z,-5.712,-12.779,1,35,4.412,1,28,880.5,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,34.0212,1,28,0,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,34.025,1,28,3.5,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,34.0239,1,28,9.7,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,34.0106,1,28,18.8,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,34.0117,1,28,28.8,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,34.0209,1,28,39.4,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,34.0249,1,28,48.8,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,34.0128,1,28,58.7,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,34.0134,1,28,70.2,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,34.0058,1,28,79.1,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,34.011,1,28,88.8,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,34.0155,1,28,98.2,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,34.0228,1,28,108.4,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,34.0011,1,28,120.4,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,34.0029,1,28,130.3,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,33.9986,1,28,139.5,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,34.0009,1,28,149.4,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,33.9952,1,28,158.6,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,33.9788,1,28,170.1,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,33.9909,1,28,178.9,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,34.0087,1,28,188.5,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,33.8908,1,28,198.8,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,33.862,1,28,208.5,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,33.8399,1,28,218.7,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,33.7657,1,28,229.2,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,33.7522,1,28,238.4,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,33.7146,1,28,249.9,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,33.7944,1,28,299.8,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,33.8033,1,28,349.4,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,33.9533,1,28,399.3,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,34.0127,1,28,448.5,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,34.0723,1,28,499.5,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,34.0967,1,28,549.5,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,34.1667,1,28,598.9,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,34.2226,1,28,649.9,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,34.2645,1,28,699.4,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,34.3087,1,28,749.8,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,34.336,1,28,800.2,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,34.3697,1,28,849.1,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,34.3906,1,28,899.8,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,34.4233,1,28,980,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,34.4501,1,28,998.9,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,30,34.4753,1,28,1054,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,7.851,1,28,0,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,7.854,1,28,3.5,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,7.765,1,28,9.7,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,7.743,1,28,18.8,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,7.734,1,28,28.8,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,7.729,1,28,39.4,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,7.722,1,28,48.8,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,7.729,1,28,58.7,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,7.728,1,28,70.2,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,7.718,1,28,79.1,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,7.718,1,28,88.8,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,7.718,1,28,98.2,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,7.713,1,28,108.4,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,7.691,1,28,120.4,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,7.679,1,28,130.3,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,7.647,1,28,139.5,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,7.642,1,28,149.4,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,7.623,1,28,158.6,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,7.608,1,28,170.1,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,7.547,1,28,178.9,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,7.206,1,28,188.5,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,6.845,1,28,198.8,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,6.654,1,28,208.5,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,6.438,1,28,218.7,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,5.932,1,28,229.2,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,5.653,1,28,238.4,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,5.472,1,28,249.9,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,5.351,1,28,299.8,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,4.74,1,28,349.4,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,4.664,1,28,399.3,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,4.64,1,28,448.5,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,4.438,1,28,499.5,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,4.271,1,28,549.5,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,4.082,1,28,598.9,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,3.911,1,28,649.9,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,3.728,1,28,699.4,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,3.706,1,28,749.8,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,3.461,1,28,800.2,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,3.338,1,28,849.1,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,3.24,1,28,899.8,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,3.064,1,28,980,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,3.071,1,28,998.9,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,35,3.034,1,28,1054,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,66,0,1,28,0,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,66,3.5,1,28,3.5,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,66,9.7,1,28,9.7,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,66,18.8,1,28,18.8,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,66,28.8,1,28,28.8,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,66,39.4,1,28,39.4,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,66,48.8,1,28,48.8,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,66,58.7,1,28,58.7,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,66,70.2,1,28,70.2,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,66,79.1,1,28,79.1,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,66,88.8,1,28,88.8,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,66,98.2,1,28,98.2,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,66,108.4,1,28,108.4,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,66,120.4,1,28,120.4,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,66,130.3,1,28,130.3,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,66,139.5,1,28,139.5,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,66,149.4,1,28,149.4,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,66,158.6,1,28,158.6,1,
1411123,21852,1999-04-01T15:04:32Z,40.232,154.246,1,66,170.1,1,28,170.1,1,
