Cruise	Station	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	Sea pressure [decibar]	QV:ARGO	Practical salinity [psu]	QV:ARGO	Sea temperature [degree_Celsius]	QV:ARGO
					4.2	1	35.255	3	13.63	1
6900636	42666178	2016-01-03T22:12:06Z	-.814	37.005	559.4	1	38.527	1	13.242	1
					848.8	1	38.497	1	13.142	1
					179.2	1	38.36	1	13.375	1
					1399.2	1	38.474	1	13.12	1
					74.2	1	38.048	1	14.126	1
					249.2	1	38.458	1	13.358	1
					1549	1	38.474	1	13.141	1
					949.3	1	38.487	1	13.114	1
					44.5	1	37.737	1	15.347	1
					1249.1	1	38.476	1	13.109	1
					629	1	38.518	1	13.208	1
					1799.3	1	38.475	1	13.177	1
					679.5	1	38.514	1	13.195	1
					69.2	1	38.029	1	14.242	1
					999	1	38.483	1	13.108	1
					799.1	1	38.5	1	13.148	1
					379.2	1	38.53	1	13.332	1
					669.1	1	38.515	1	13.193	1
					129	1	38.234	1	13.4	1
					14.6	1	37.394	1	17.222	1
					439.4	1	38.534	1	13.313	1
					589.2	1	38.523	1	13.225	1
					239.1	1	38.452	1	13.357	1
					49.4	1	37.856	1	14.816	1
					24.5	1	37.395	1	17.223	1
					659.5	1	38.515	1	13.197	1
					54.6	1	37.904	1	14.53	1
					39.8	1	37.696	1	16.107	1
					198.9	1	38.401	1	13.374	1
					1999.2	1	38.477	1	13.207	1
					429.4	1	38.534	1	13.315	1
					79.2	1	38.08	1	14.039	1
					599.3	1	38.522	1	13.222	1
					509.2	1	38.531	1	13.269	1
					329.1	1	38.508	1	13.323	1
					109.5	1	38.217	1	13.523	1
					1948.8	1	38.475	1	13.199	1
					94.2	1	38.157	1	13.723	1
					1449.5	1	38.474	1	13.127	1
					699.2	1	38.512	1	13.186	1
					369	1	38.527	1	13.336	1
					529	1	38.528	1	13.252	1
					1698.8	1	38.475	1	13.162	1
					309	1	38.504	1	13.334	1
					459.2	1	38.534	1	13.298	1
					519.3	1	38.529	1	13.256	1
					2000.5	1	38.476	1	13.208	1
					59.1	1	37.942	1	14.38	1
					1849	1	38.475	1	13.184	1
					479.1	1	38.535	1	13.29	1
					89.4	1	38.136	1	13.783	1
					1099.1	1	38.479	1	13.102	1
					648.8	1	38.516	1	13.2	1
					259.3	1	38.471	1	13.352	1
					499.2	1	38.535	1	13.285	1
					339	1	38.514	1	13.318	1
					349.3	1	38.52	1	13.325	1
					1299.4	1	38.475	1	13.111	1
					279.3	1	38.489	1	13.359	1
					139.2	1	38.268	1	13.415	1
					549.4	1	38.529	1	13.252	1
					319.2	1	38.507	1	13.328	1
					608.8	1	38.521	1	13.217	1
					99.6	1	38.18	1	13.647	1
					189	1	38.384	1	13.381	1
					34.5	1	37.39	1	17.191	1
					9.3	1	37.394	1	17.222	1
					1749.1	1	38.475	1	13.17	1
					569	1	38.526	1	13.239	1
					469	1	38.533	1	13.29	1
					229.3	1	38.437	1	13.358	1
					419.3	1	38.534	1	13.317	1
					638.8	1	38.517	1	13.2	1
					389.4	1	38.532	1	13.328	1
					1349.1	1	38.474	1	13.112	1
					169	1	38.33	1	13.374	1
					689.2	1	38.513	1	13.193	1
					269.2	1	38.481	1	13.357	1
					84.1	1	38.119	1	13.877	1
					149.4	1	38.309	1	13.428	1
					449.1	1	38.535	1	13.305	1
					19.5	1	37.395	1	17.222	1
					1648.7	1	38.475	1	13.155	1
					748.9	1	38.505	1	13.162	1
					288.9	1	38.494	1	13.341	1
					1048.9	1	38.481	1	13.104	1
					399.3	1	38.534	1	13.326	1
					159.1	1	38.32	1	13.393	1
					1499.2	1	38.475	1	13.133	1
					4.4	1	37.394	1	17.222	1
					219.2	1	38.42	1	13.368	1
					579.3	1	38.525	1	13.235	1
					538.9	1	38.528	1	13.249	1
					1148.9	1	38.476	1	13.097	1
					489.3	1	38.534	1	13.288	1
					1599.2	1	38.475	1	13.148	1
					29.7	1	37.393	1	17.227	1
					209.3	1	38.412	1	13.368	1
					1899.1	1	38.476	1	13.192	1
					899.4	1	38.491	1	13.125	1
					299.5	1	38.498	1	13.339	1
					119.2	1	38.223	1	13.489	1
					619.2	1	38.519	1	13.211	1
					1199.2	1	38.477	1	13.107	1
					64.4	1	38.004	1	14.318	1
					409.3	1	38.534	1	13.325	1
					359	1	38.525	1	13.334	1
6901570	42664439	2016-01-02T22:40:00Z	-16.195	42.398	216	1	35.676	1	12.598	1
					1788	1	35.018	1	4.26	1
					1263	1	35.629	1	8.18	1
					763	1	35.714	1	10.624	1
					663	1	35.562	1	10.678	1
					135	1	35.77	1	13.273	1
					496	1	35.537	1	11.198	1
					1913	1	35.001	1	4.043	1
					25	1	35.751	1	14.563	1
					1838	1	35.01	1	4.169	1
					345	1	35.61	1	11.919	1
					405	1	35.578	1	11.642	1
					938	1	35.897	1	10.551	1
					8	1	35.752	1	14.563	1
					813	1	35.828	1	10.794	1
					1463	1	35.343	1	6.378	1
					286	1	35.641	1	12.251	1
					1313	1	35.523	1	7.521	1
					713	1	35.613	1	10.613	1
					125	1	35.78	1	13.379	1
					265	1	35.652	1	12.355	1
					55	1	35.748	1	14.545	1
					1063	1	35.829	1	9.706	1
					415	1	35.572	1	11.581	1
					1388	1	35.462	1	7.059	1
					295	1	35.637	1	12.208	1
					375	1	35.596	1	11.783	1
					538	1	35.536	1	11.068	1
					988	1	35.848	1	10.113	1
					195	1	35.687	1	12.677	1
					315	1	35.625	1	12.075	1
					1088	1	35.795	1	9.5	1
					115	1	35.803	1	13.542	1
					275	1	35.645	1	12.289	1
					395	1	35.59	1	11.723	1
					1488	1	35.266	1	5.932	1
					85	1	35.781	1	14.259	1
					1713	1	35.034	1	4.417	1
					838	1	35.8	1	10.578	1
					7	1	35.752	1	14.562	1
					366	1	35.602	1	11.839	1
					425	1	35.572	1	11.55	1
					913	1	35.876	1	10.575	1
					1013	1	35.837	1	9.933	1
					1138	1	35.828	1	9.478	1
					1337	1	35.506	1	7.385	1
					1238	1	35.646	1	8.385	1
					305	1	35.632	1	12.142	1
					588	1	35.554	1	10.941	1
					446	1	35.563	1	11.462	1
					246	1	35.661	1	12.436	1
					385	1	35.593	1	11.756	1
					1938	1	34.992	1	3.977	1
					106	1	35.81	1	13.605	1
					787	1	35.806	1	10.794	1
					1663	1	35.06	1	4.602	1
					36	1	35.75	1	14.558	1
					1438	1	35.389	1	6.631	1
					435	1	35.567	1	11.506	1
					514	1	35.534	1	11.135	1
					1538	1	35.164	1	5.308	1
					335	1	35.613	1	11.962	1
					456	1	35.567	1	11.457	1
					185	1	35.693	1	12.724	1
					65	1	35.749	1	14.539	1
					175	1	35.701	1	12.799	1
					255	1	35.657	1	12.405	1
					1738	1	35.026	1	4.353	1
					1588	1	35.115	1	4.982	1
					1413	1	35.435	1	6.896	1
					1638	1	35.077	1	4.726	1
					1163	1	35.815	1	9.356	1
					1988	1	34.973	1	3.821	1
					1038	1	35.83	1	9.815	1
